text,created_at,retweets,likes,source,geo,profile_location,profile_name,profile_description,sentiment
"RT @amargov: She posted a photograph of the blast site and added ‚Äúnot 40, but 400 must have been killed‚Äù. https://t.co/i5IXu2pyJI",Wed Feb 20 08:56:51 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,Bliss,,Neutral
"RT @SMedia4: #ForcesWarnPak 
But identify local  handlers first.  #PulwamaAttack #ImranKhan

https://t.co/pH1X0Jm9DT",Wed Feb 20 08:56:52 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,telangana ,rekha tawani,Rekha,Neutral
#PulwamaAttack,Wed Feb 20 08:56:53 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,India,Mr. Kali Prasad Shukla,,Neutral
RT @YRDeshmukh: This is the best non-partisan tweet i have come across in a long time. Kudos @Pawankhera . Not everyone has this clarity ofÖ,Wed Feb 20 08:56:53 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,Siba Soumendra,,Positve
Han bhai shaikh ne kradi jhandi phir...,Wed Feb 20 08:56:58 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"Karachi, Pakistan",Mike Alpha,"Jet hunter,Pisces.Liverpool fan and a die hard karachiite. Views Expressed are my own nothing to do with the institution. RT's are not endorsements.",Neutral
RT @JhaSanjay: No comment necessary. https://t.co/Z6HV2gmROT,Wed Feb 20 08:57:00 +0000 2019,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,Mithilesh Jha,Born Congressmen,Negative
"""Beyond the posturing and bombast, #Pakistan ís decision-makers must still consider the long-term outcome of theirÖ https://t.co/uurB5qd2Bu",Wed Feb 20 08:57:02 +0000 2019,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"New Delhi, India",Santanu Choudhury,National editor @livemint. Via @DowJones @Bloomberg @PTI_News @Cogencis @bsindia @RSJindia. #Rock keeps the #Blues away,Neutral
You moron 27 lacs indians are living in Saudi. What do you expect Modi to do? Losers like you will speak without anÖ https://t.co/IsXpDagEuG,Wed Feb 20 08:57:02 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,samy,,Negative
"RT @Bapumerepyare: The nation is boiling in anger after the #PulwamaAttack!

@narendramodi Ji
Enough saying #StopTerrorismInKashmir.. now iÖ",Wed Feb 20 08:57:03 +0000 2019,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,Sangeeta,,Negative
RT @alisalmanalvi: Not even surprised that Talat Hussain and Reham Khan share the same point of view on PM Imran Khan's policy statement ovÖ,Wed Feb 20 08:57:04 +0000 2019,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,inayat malkani,,Positve
RT @suhasinih: Saudi Arabian Crown Prince Mohammed bin Salman after talks with PM Modi makes no mention of #PulwamaAttack or cross border tÖ,Wed Feb 20 08:57:05 +0000 2019,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Mumbai,Objective,....,Negative
